Fecha,srf,dia,reconstruida_srf,ajustados_srf
2021-09-06,22215204.0,615,23542093.95514176,21629969.67623141
2021-09-07,24689120.0,616,23603483.88013028,21537651.664894927
2021-09-08,22622180.0,617,23043541.3433724,21444834.593048368
2021-09-09,21897254.0,618,22042484.48608883,21351546.189820975
2021-09-10,22222096.0,619,20920449.832291104,21257814.32515237
2021-09-11,20155372.0,620,20020756.467748895,21163667.001466427
2021-09-12,20634934.0,621,19590251.746338323,21069132.34530553
2021-09-13,18708174.0,622,19698212.456377983,20974238.598927747
2021-09-14,22584754.0,623,20220750.541396946,20879014.111869484
2021-09-15,20851198.0,624,20894122.558708113,20783487.332476012
2021-09-16,15802048.0,625,21416100.001844317,20687686.79940254
2021-09-17,20330468.0,626,21558066.97541405,20591641.13308826
2021-09-18,21240956.0,627,21247400.709624894,20495379.02720602
2021-09-19,23664660.0,628,20590859.062274877,20398929.240090035
2021-09-20,23859878.0,629,19831068.163711023,20302320.586144358
2021-09-21,21459762.0,630,19252189.484605785,20205581.927234568
2021-09-22,15406222.0,631,19069030.72133889,20108742.16406523
2021-09-23,19487894.0,632,19339920.801342238,20011830.227545876
2021-09-24,17465218.0,633,19935525.834344335,19914875.070147835
2021-09-25,17697650.0,634,20576302.42285727,19817905.65725469
2021-09-26,20552928.0,635,20927231.978322487,19720950.958508845
2021-09-27,23683702.0,636,20718163.219505694,19624039.93915687
2021-09-28,21740126.0,637,19848503.627589867,19527201.55139609
2021-09-29,19659808.0,638,18439447.627927937,19430464.725725114
2021-09-30,16014822.0,639,16813932.49676563,19333858.36230085
2021-10-01,18987596.0,640,15408359.974061262,19237411.322304577
2021-10-02,8595470.0,641,14642832.577768134,19141152.41931964
2021-10-03,14842786.0,642,14790682.7024923,19045110.410723392
2021-10-04,14389080.0,643,15888818.837792933,18949313.98909593
2021-10-05,18416096.0,644,17717704.546659704,18853791.773648165
2021-10-06,22189850.0,645,19857862.385262087,18758572.30167181
2021-10-07,22562974.0,646,21805833.77260682,18663684.020013884
2021-10-08,23124330.0,647,23114233.13729365,18569155.2765782
2021-10-09,22461132.0,648,23513626.83861323,18475014.311856408
2021-10-10,22801600.0,649,22980372.802464742,18381289.250491146
2021-10-11,21306544.0,650,21731905.20482548,18288008.092873797
2021-10-12,21663402.0,651,20153469.862723626,18195198.706779353
2021-10-13,17966558.0,652,18680804.809520878,18102888.81904093
2021-10-14,17449814.0,653,17675426.090122245,18011106.007266343
2021-10-15,18299944.0,654,17329604.631331056,17919877.691599295
2021-10-16,14719013.0,655,17627218.2081883,17829231.126527615
2021-10-17,17733856.0,656,18368362.96071493,17739193.392740957
2021-10-18,21619764.0,657,19245945.808182795,17649791.389040425
2021-10-19,21477860.0,658,19947583.942597397,17561051.82430259
2021-10-20,20667036.0,659,20250311.32275292,17473001.209500138
2021-10-21,19052504.0,660,20080065.499281302,17385665.84978177
2021-10-22,18383168.0,661,19520662.932971016,17299071.836613506
2021-10-23,19781854.0,662,18773500.87620191,17213245.03998385
